U	v	Z1	Z2	T	P	vf	x1	x2	y1	y2
16916.64285714286	0.0013362302222222223	0.9651397724218261	0.034860227578173995	953.2810263213149	6044525.3727689115	1	0.8355282602833088	0.16447173971669116	0.9651397724218261	0.034860227578173995
16916.64285714286	0.0013362302222222223	0.9545424579891726	0.04545754201082755	913.0270894912876	5789568.265522547	1	0.7716046409465996	0.22839535905340028	0.9545424579891726	0.04545754201082755
16916.64285714286	0.0013362302222222223	0.9435011765438049	0.05649882345619504	877.0573462854486	5561128.139064026	1	0.7027948446378498	0.29720515536215014	0.9435011765438049	0.05649882345619504
16916.64285714286	0.0013362302222222223	0.9319874316392327	0.06801256836076741	844.64389185503	5354585.886806326	1	0.631468899676697	0.36853110032330294	0.9319874316392327	0.06801256836076741
16916.64285714286	0.0013362302222222223	0.9199702347479396	0.08002976525206035	815.2209331854684	5166335.157654928	1	0.56005436938806	0.43994563061194003	0.9199702347479396	0.08002976525206035
16916.64285714286	0.0013362302222222223	0.907415826749346	0.09258417325065416	788.3406972015053	4993504.5368371	1	0.4907603869266935	0.5092396130733066	0.907415826749346	0.09258417325065416
16916.64285714286	0.0013362302222222223	0.8942873612123969	0.10571263878760319	763.6433627507258	4833767.704239664	1	0.42537391559235305	0.574626084407647	0.8942873612123969	0.10571263878760319
16916.64285714286	0.0013362302222222223	0.8805445432153516	0.11945545678464838	740.8353155836564	4685205.58291642	1	0.3651570218233433	0.6348429781766567	0.8805445432153516	0.11945545678464838
16916.64285714286	0.0013362302222222223	0.8661432162459994	0.1338567837540006	719.674980344621	4546216.206405913	1	0.3108437481143981	0.6891562518856018	0.8661432162459994	0.1338567837540006
16916.64285714286	0.0013362302222222223	0.851034888261239	0.14896511173876117	699.9609191215914	4415438.2538984725	1	0.2627055086487718	0.7372944913512282	0.851034888261239	0.14896511173876117
16916.64285714286	0.001174223111111111	0.9651397724218261	0.034860227578173995	953.5152982609291	6898483.0610760795	1	0.8356289071807982	0.16437109281920184	0.9651397724218261	0.034860227578173995
16916.64285714286	0.001174223111111111	0.9545424579891726	0.04545754201082755	913.2927568771554	6607912.658085995	1	0.7717641943618943	0.22823580563810578	0.9545424579891726	0.04545754201082755
16916.64285714286	0.001174223111111111	0.9435011765438049	0.05649882345619504	877.3532736222616	6347496.316152499	1	0.7030231184053015	0.2969768815946985	0.9435011765438049	0.05649882345619504
16916.64285714286	0.001174223111111111	0.9319874316392327	0.06801256836076741	844.9694627141827	6111968.069037918	1	0.6317705915393657	0.36822940846063434	0.9319874316392327	0.06801256836076741
16916.64285714286	0.001174223111111111	0.9199702347479396	0.08002976525206035	815.5764004529933	5897217.898223236	1	0.5604287641871819	0.439571235812818	0.9199702347479396	0.08002976525206035
